sample_id,state,district,crop,season,soil_type,rainfall_mm,temperature_c,humidity_percent,soil_moisture_percent,nitrogen,phosphorus,potassium,ph,ndvi,evi,latitude,longitude,area_hectare,yield_ton_per_hectare,crop_health_status
AGRI-0001,Rajasthan,D3,Maize,Rabi,Silty,722.71,28.1,57.6,30.63,50.24,39.33,82.56,6.24,0.756,0.678,29.65121,78.85622,5.93,7.66,Healthy
AGRI-0002,Maharashtra,D3,Cotton,Zaid,Clay,1397.27,37.77,70.63,45.28,98.85,88.23,44.24,6.13,0.643,0.443,16.1353,83.81112,6.72,6.42,Moderate
AGRI-0003,Karnataka,D3,Cotton,Zaid,Clay,1161.72,27.31,74.16,31.77,85.44,44.75,26.69,7.4,0.294,0.151,16.51523,72.02527,7.24,5.29,Moderate
AGRI-0004,Rajasthan,D2,Maize,Zaid,Sandy,1007.17,19.16,44.81,32.99,55.73,22.04,54.5,5.76,0.694,0.458,21.91108,77.70105,1.01,7.31,Moderate
AGRI-0005,Uttar Pradesh,D4,Rice,Kharif,Black Soil,1318.98,23.25,39.38,26.46,22.79,47.28,40.05,7.48,0.689,0.512,25.6026,80.14858,2.77,8.97,Moderate
AGRI-0006,Madhya Pradesh,D5,Soybean,Kharif,Alluvial,404.57,26.72,86.72,46.17,102.52,64.32,98.11,8.27,0.478,0.232,9.51558,71.2041,2.9,6.94,Healthy
AGRI-0007,Karnataka,D1,Maize,Kharif,Alluvial,632.77,21.14,49.34,39.98,43.62,76.58,45.89,6.98,0.827,0.336,22.24025,83.57111,3.76,7.51,Healthy
AGRI-0008,Karnataka,D4,Soybean,Zaid,Sandy,861.54,36.95,81.93,22.27,111.79,46.7,25.45,7.14,0.297,0.459,30.86768,73.98673,1.77,4.47,Poor
AGRI-0009,Rajasthan,D3,Sugarcane,Rabi,Alluvial,599.68,33.34,82.49,42.39,66.23,57.49,25.04,5.24,0.367,0.324,14.29025,72.22046,4.22,8.1,Moderate
AGRI-0010,Haryana,D4,Cotton,Rabi,Clay,1168.3,23.37,77.49,27.57,83.48,31.39,136.42,8.03,0.224,0.325,29.81185,79.16577,5.47,4.91,Poor
AGRI-0011,Uttar Pradesh,D5,Soybean,Rabi,Silty,1361.13,29.82,44.29,41.83,116.02,61.67,102.8,6.0,0.737,0.18,30.80404,76.20627,4.23,8.5,Healthy
AGRI-0012,Rajasthan,D1,Wheat,Rabi,Alluvial,816.15,32.43,80.2,41.62,115.0,88.88,70.13,7.15,0.615,0.664,14.45969,86.40572,5.49,7.87,Healthy
AGRI-0013,Uttar Pradesh,D1,Soybean,Kharif,Sandy,726.35,36.83,77.31,18.8,60.87,13.92,145.19,8.43,0.4,0.55,26.10084,85.60125,1.0,3.89,Poor
AGRI-0014,Uttar Pradesh,D5,Sugarcane,Kharif,Black Soil,1407.71,35.63,67.82,37.24,42.98,80.92,29.83,7.08,0.295,0.101,13.7306,77.66701,7.07,8.55,Poor
AGRI-0015,Madhya Pradesh,D5,Cotton,Zaid,Sandy,839.34,28.3,53.55,22.46,105.27,54.98,157.25,7.54,0.208,0.559,25.70267,75.18528,7.54,3.88,Poor
AGRI-0016,Karnataka,D3,Maize,Zaid,Loam,887.95,33.49,49.44,22.71,67.64,30.17,106.28,6.56,0.297,0.544,27.13808,74.51036,5.13,5.53,Poor
AGRI-0017,Maharashtra,D1,Sugarcane,Rabi,Sandy,736.81,29.24,41.7,22.67,41.12,86.39,45.68,5.21,0.497,0.106,13.93294,73.35127,7.11,8.4,Poor
AGRI-0018,Madhya Pradesh,D4,Cotton,Kharif,Clay,1350.5,29.05,63.04,38.12,119.49,48.67,115.07,7.79,0.353,0.322,25.18087,78.89096,1.49,5.5,Moderate
AGRI-0019,Madhya Pradesh,D2,Soybean,Rabi,Silty,975.85,20.29,67.19,20.27,41.79,36.54,126.87,5.12,0.361,0.464,27.49051,84.09957,6.48,4.42,Poor
AGRI-0020,Uttar Pradesh,D2,Rice,Zaid,Silty,1188.39,20.52,54.76,12.03,22.84,24.52,80.11,7.45,0.793,0.372,16.60589,74.21513,1.39,8.36,Moderate
AGRI-0021,Tamil Nadu,D5,Rice,Zaid,Alluvial,1242.99,28.59,61.14,37.75,22.23,29.56,140.63,5.08,0.541,0.567,12.02487,71.80188,3.56,7.9,Moderate
AGRI-0022,Karnataka,D3,Wheat,Rabi,Clay,726.03,23.38,54.99,18.16,88.45,76.63,41.1,8.02,0.69,0.355,10.20715,77.50968,2.93,7.05,Moderate
AGRI-0023,Haryana,D2,Cotton,Zaid,Loam,827.06,18.42,70.26,15.76,92.78,59.15,59.04,5.55,0.205,0.192,21.80916,69.38069,4.89,3.47,Poor
AGRI-0024,Madhya Pradesh,D1,Rice,Rabi,Clay,1283.32,32.46,84.57,20.55,54.21,83.06,33.09,6.8,0.436,0.686,31.47435,82.02558,2.76,7.64,Moderate
AGRI-0025,Maharashtra,D5,Maize,Kharif,Sandy,749.58,18.65,44.02,25.68,55.2,28.56,49.52,7.09,0.515,0.245,27.75081,78.36717,5.28,5.67,Poor
AGRI-0026,Tamil Nadu,D4,Cotton,Rabi,Clay,1223.33,29.91,55.98,29.13,57.34,19.69,53.42,6.6,0.31,0.531,18.46015,77.9275,3.26,5.34,Poor
AGRI-0027,Tamil Nadu,D5,Maize,Kharif,Clay,1385.09,28.78,42.75,13.6,94.82,10.49,148.47,6.19,0.264,0.186,20.8789,74.00891,6.96,6.54,Poor
AGRI-0028,Haryana,D4,Maize,Kharif,Loam,1035.53,37.38,69.37,46.94,26.39,50.63,30.94,6.64,0.789,0.297,14.70867,86.09347,5.25,7.36,Healthy
AGRI-0029,Madhya Pradesh,D5,Rice,Zaid,Sandy,1165.79,27.68,75.09,37.78,122.2,89.86,79.84,6.09,0.838,0.365,11.91358,69.80973,2.11,11.2,Healthy
AGRI-0030,Maharashtra,D5,Cotton,Zaid,Black Soil,1235.61,19.27,86.26,23.63,44.48,65.6,94.54,6.53,0.235,0.215,19.56995,85.39648,3.02,4.09,Poor
AGRI-0031,Karnataka,D5,Soybean,Zaid,Black Soil,1279.54,29.03,50.34,23.47,129.96,34.67,145.82,6.26,0.424,0.37,19.12404,75.5341,6.86,7.23,Moderate
AGRI-0032,Punjab,D4,Sugarcane,Rabi,Silty,784.56,34.82,87.26,28.15,38.87,80.15,159.68,6.98,0.851,0.194,20.52632,85.61247,3.4,10.37,Healthy
AGRI-0033,Maharashtra,D4,Rice,Rabi,Alluvial,406.39,37.94,38.48,34.54,104.87,72.54,125.47,5.83,0.238,0.435,30.86731,82.57523,4.52,6.29,Poor
AGRI-0034,Haryana,D5,Rice,Zaid,Clay,792.06,26.61,68.17,17.27,44.58,11.23,155.91,8.46,0.631,0.498,22.49349,70.08341,5.37,7.78,Moderate
AGRI-0035,Tamil Nadu,D2,Soybean,Rabi,Silty,1091.13,24.41,38.14,18.8,28.89,75.35,130.19,6.75,0.861,0.137,22.53852,84.63073,3.11,7.92,Moderate
AGRI-0036,Karnataka,D3,Cotton,Zaid,Loam,845.39,36.13,84.16,42.94,116.24,34.04,154.85,5.68,0.865,0.623,11.07259,81.64354,2.7,7.33,Healthy
AGRI-0037,Maharashtra,D3,Cotton,Rabi,Black Soil,1173.86,21.82,64.14,21.23,114.46,21.97,119.02,6.67,0.51,0.211,31.91573,68.64604,4.06,5.0,Moderate
AGRI-0038,Punjab,D3,Maize,Kharif,Clay,742.68,30.31,71.81,25.69,64.39,28.11,31.17,8.03,0.294,0.235,26.54828,70.67405,2.11,5.55,Poor
AGRI-0039,Punjab,D4,Soybean,Kharif,Loam,1048.22,26.11,80.74,43.37,97.26,47.49,76.27,5.08,0.321,0.497,29.05288,80.71256,2.63,4.97,Moderate
AGRI-0040,Uttar Pradesh,D4,Soybean,Zaid,Alluvial,555.06,18.82,43.27,35.87,81.28,43.99,110.52,7.38,0.803,0.381,17.94321,81.25201,0.97,7.12,Moderate
AGRI-0041,Uttar Pradesh,D2,Cotton,Rabi,Loam,1174.31,24.95,37.12,24.3,113.83,33.11,69.1,6.92,0.818,0.4,20.05107,82.93303,2.78,7.19,Healthy
AGRI-0042,Rajasthan,D3,Maize,Rabi,Clay,950.27,23.3,83.34,36.61,54.66,23.78,58.27,5.59,0.606,0.177,20.53001,82.40491,2.91,7.67,Moderate
AGRI-0043,Haryana,D3,Rice,Kharif,Alluvial,574.47,31.72,52.32,12.71,77.6,70.98,100.84,7.86,0.716,0.583,12.65827,81.1904,7.71,8.29,Moderate
AGRI-0044,Madhya Pradesh,D5,Wheat,Kharif,Loam,671.1,36.98,42.09,38.48,73.39,89.21,150.69,6.29,0.698,0.47,24.54774,83.32478,4.92,7.74,Moderate
AGRI-0045,Maharashtra,D4,Sugarcane,Zaid,Alluvial,1173.47,23.36,60.77,29.53,58.93,72.22,24.9,6.03,0.643,0.181,29.67144,79.50171,6.41,10.04,Moderate
AGRI-0046,Maharashtra,D3,Rice,Kharif,Clay,880.86,34.23,67.91,41.27,118.06,33.67,127.69,7.9,0.759,0.324,11.92894,73.21583,0.84,10.73,Healthy
AGRI-0047,Madhya Pradesh,D2,Cotton,Zaid,Clay,587.63,19.11,36.7,46.37,38.25,29.58,121.18,7.23,0.66,0.586,10.07164,86.24753,1.3,6.32,Moderate
AGRI-0048,Rajasthan,D2,Sugarcane,Kharif,Alluvial,1414.0,28.76,50.12,45.33,36.45,27.41,154.95,8.14,0.554,0.441,25.71725,68.36428,6.61,10.93,Moderate
AGRI-0049,Tamil Nadu,D3,Wheat,Kharif,Sandy,1136.64,19.41,36.8,44.73,83.46,20.94,150.3,7.2,0.346,0.165,14.55684,75.33123,5.18,7.15,Moderate
AGRI-0050,Tamil Nadu,D4,Wheat,Rabi,Silty,1402.85,36.68,58.12,30.44,92.32,54.11,126.71,7.59,0.701,0.324,22.9727,82.57741,1.93,9.1,Moderate
AGRI-0051,Rajasthan,D2,Maize,Kharif,Loam,819.82,33.33,84.23,24.97,41.41,58.43,92.86,7.93,0.511,0.246,24.6982,76.54312,3.54,6.34,Moderate
AGRI-0052,Tamil Nadu,D5,Sugarcane,Kharif,Loam,872.61,31.16,89.05,28.74,62.98,66.44,48.6,5.19,0.386,0.41,15.72586,68.49669,4.54,8.12,Poor
AGRI-0053,Uttar Pradesh,D2,Maize,Zaid,Sandy,1337.75,34.48,70.04,36.84,124.12,64.42,96.33,7.72,0.741,0.606,27.56347,69.31962,6.83,8.41,Healthy
AGRI-0054,Maharashtra,D1,Rice,Kharif,Sandy,927.55,30.95,43.89,43.82,47.13,33.39,127.15,7.15,0.668,0.362,21.19974,80.97275,0.95,9.09,Healthy
AGRI-0055,Rajasthan,D1,Soybean,Zaid,Sandy,1128.01,37.38,84.82,19.45,93.52,36.42,145.39,5.24,0.836,0.36,28.85599,87.29729,4.98,7.32,Moderate
AGRI-0056,Maharashtra,D4,Soybean,Kharif,Black Soil,627.39,32.28,63.39,45.05,101.42,64.52,130.56,6.78,0.296,0.643,26.31905,79.03727,5.88,5.75,Moderate
AGRI-0057,Madhya Pradesh,D3,Soybean,Kharif,Black Soil,841.4,36.49,43.46,41.35,69.29,37.96,47.34,5.29,0.634,0.446,28.84582,78.13516,7.83,5.84,Moderate
AGRI-0058,Punjab,D4,Sugarcane,Zaid,Alluvial,485.79,28.34,85.69,47.24,123.13,27.01,103.96,7.58,0.351,0.44,8.48387,74.3665,6.55,9.89,Moderate
AGRI-0059,Uttar Pradesh,D4,Soybean,Rabi,Black Soil,576.58,20.34,76.66,43.69,101.03,39.95,66.5,6.91,0.813,0.257,13.84415,73.13381,2.57,7.38,Healthy
AGRI-0060,Karnataka,D4,Rice,Zaid,Clay,351.04,28.56,75.24,22.08,70.37,31.77,21.29,8.34,0.25,0.465,10.16019,68.4197,5.82,5.45,Poor
AGRI-0061,Uttar Pradesh,D4,Maize,Zaid,Alluvial,393.19,20.54,74.0,15.81,82.63,17.07,48.03,5.64,0.639,0.446,18.60999,73.4591,6.22,5.57,Moderate
AGRI-0062,Rajasthan,D5,Sugarcane,Zaid,Loam,1425.01,29.85,46.02,16.04,96.19,76.41,35.85,7.12,0.734,0.338,29.35904,76.98221,5.97,11.49,Moderate
AGRI-0063,Karnataka,D5,Maize,Rabi,Silty,616.59,27.65,46.61,22.48,85.14,78.25,137.98,5.74,0.428,0.694,19.22097,71.959,6.65,6.14,Moderate
AGRI-0064,Punjab,D2,Sugarcane,Kharif,Clay,1079.64,30.45,72.86,34.11,116.66,27.58,56.19,7.15,0.848,0.629,28.39311,69.74696,7.28,12.87,Healthy
AGRI-0065,Rajasthan,D1,Maize,Zaid,Loam,1273.01,18.2,47.08,40.96,59.26,15.18,59.86,7.53,0.776,0.55,15.85228,82.35456,1.24,7.91,Moderate
AGRI-0066,Haryana,D4,Wheat,Zaid,Loam,955.73,21.9,59.13,44.37,52.99,69.11,154.39,7.53,0.386,0.422,16.14968,85.89241,1.29,7.34,Moderate
AGRI-0067,Maharashtra,D2,Maize,Rabi,Alluvial,518.46,27.83,78.01,34.46,43.52,26.92,73.07,7.85,0.185,0.377,29.49348,86.73544,6.47,4.31,Poor
AGRI-0068,Punjab,D1,Soybean,Zaid,Sandy,1150.93,37.01,78.12,12.2,24.16,41.47,21.34,7.99,0.388,0.211,18.21961,80.35997,2.39,4.42,Poor
AGRI-0069,Maharashtra,D3,Wheat,Kharif,Sandy,1010.28,25.67,59.93,18.71,24.73,15.13,59.74,5.27,0.377,0.283,26.95437,69.05549,0.94,5.59,Poor
AGRI-0070,Tamil Nadu,D5,Maize,Rabi,Clay,1154.38,26.49,78.57,15.59,115.71,28.1,36.7,6.2,0.803,0.564,13.67945,82.81725,3.51,8.52,Healthy
